SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
517021,Furniture Finishers,-2.7%,27,$18 per hour,"$42,200 per year",Some of these occupations may require a high school diploma or GED certificate.
518092,Gas Plant Operators,-1.1%,8,$46 per hour,"$87,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519022,"Grinding and Polishing Workers, Hand",-3.3%,8,$18 per hour,"$38,200 per year",Some of these occupations may require a high school diploma or GED certificate.
514033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.6%,121,$18 per hour,"$39,400 per year",These occupations usually require a high school diploma.
514191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-2.1%,9,$22 per hour,"$49,500 per year",These occupations usually require a high school diploma.
519198,Helpers--Production Workers,-1.7%,241,$18 per hour,"$38,000 per year",Some of these occupations may require a high school diploma or GED certificate.
499031,Home Appliance Repairers,-2.4%,24,$21 per hour,"$45,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
173026,Industrial Engineering Technologists and Technicians,-0.9%,62,$33 per hour,"$73,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499041,Industrial Machinery Mechanics,-0.2%,684,$31 per hour,"$67,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
113051,Industrial Production Managers,-1.0%,170,$59 per hour,"$127,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",-1.3%,"1,060",$28 per hour,"$63,800 per year",These occupations usually require a high school diploma.
499099,"Installation, Maintenance, and Repair Workers, All Other",-0.6%,341,$29 per hour,"$59,800 per year",None
519071,Jewelers and Precious Stone and Metal Workers,-2.0%,50,$21 per hour,"$45,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
537062,"Laborers and Freight, Stock, and Material Movers, Hand",-0.7%,"6,077",$18 per hour,"$39,700 per year",These occupations usually require a high school diploma.
514034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-2.7%,5,$19 per hour,"$40,800 per year",These occupations usually require a high school diploma.
514192,"Layout Workers, Metal and Plastic",-0.1%,66,$30 per hour,"$64,000 per year",These occupations usually require a high school diploma.
499094,Locksmiths and Safe Repairers,0.1%,42,$30 per hour,"$60,400 per year",These occupations usually require a high school diploma.
537063,Machine Feeders and Offbearers,-1.6%,102,$18 per hour,"$39,400 per year",These occupations usually require a high school diploma.
514041,Machinists,-1.4%,516,$26 per hour,"$57,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499071,"Maintenance and Repair Workers, General",-0.5%,"2,773",$23 per hour,"$50,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499043,"Maintenance Workers, Machinery",-0.9%,54,$27 per hour,"$57,400 per year",These occupations usually require a high school diploma.
499011,Mechanical Door Repairers,-1.4%,30,$24 per hour,"$53,500 per year",These occupations usually require a high school diploma.
173027,Mechanical Engineering Technologists and Technicians,-0.2%,72,$33 per hour,"$71,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519082,Medical Appliance Technicians,-0.5%,52,$19 per hour,"$44,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499062,Medical Equipment Repairers,-0.7%,98,$34 per hour,"$69,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
514199,"Metal Workers and Plastic Workers, All Other",-3.0%,25,$18 per hour,"$47,900 per year",None
514051,Metal-Refining Furnace Operators and Tenders,-0.1%,21,$22 per hour,"$46,800 per year",These occupations usually require a high school diploma.
514035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-3.5%,2,$21 per hour,"$44,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.8%,139,$22 per hour,"$49,000 per year",These occupations usually require a high school diploma.
514061,"Model Makers, Metal and Plastic",-0.8%,4,$26 per hour,"$66,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
517031,"Model Makers, Wood",0.4%,5,$31 per hour,"$62,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519195,"Molders, Shapers, and Casters, Except Metal and Plastic",-1.5%,98,$22 per hour,"$48,000 per year",These occupations usually require a high school diploma.
514072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.5%,161,$19 per hour,"$43,600 per year",These occupations usually require a high school diploma.
514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.5%,98,$21 per hour,"$51,800 per year",These occupations usually require a high school diploma.
518011,Nuclear Power Reactor Operators,-0.6%,3,$50 per hour,"$104,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
519083,Ophthalmic Laboratory Technicians,-1.7%,85,$20 per hour,"$42,100 per year",These occupations usually require a high school diploma.
519111,Packaging and Filling Machine Operators and Tenders,-0.7%,671,$17 per hour,"$39,000 per year",These occupations usually require a high school diploma.
519123,"Painting, Coating, and Decorating Workers",-2.3%,5,$25 per hour,"$56,900 per year",These occupations usually require a high school diploma.
519196,"Paper Goods Machine Setters, Operators, and Tenders",-1.4%,144,$22 per hour,"$50,600 per year",These occupations usually require a high school diploma.
514062,"Patternmakers, Metal and Plastic",-1.2%,1,$25 per hour,"$53,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
517032,"Patternmakers, Wood",N/A,N/A,$31 per hour,"$60,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
518093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.1%,93,$36 per hour,"$75,400 per year",These occupations usually require a high school diploma.
518099,"Plant and System Operators, All Other",0.1%,20,$35 per hour,"$75,200 per year",None
514193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",-2.4%,16,$19 per hour,"$43,400 per year",These occupations usually require a high school diploma.
514052,"Pourers and Casters, Metal",-1.0%,5,$19 per hour,"$41,000 per year",These occupations usually require a high school diploma.
518012,Power Distributors and Dispatchers,-0.2%,32,$60 per hour,"$123,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
518013,Power Plant Operators,-0.5%,24,$50 per hour,"$102,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
499069,"Precision Instrument and Equipment Repairers, All Other",0.2%,39,$31 per hour,"$68,700 per year",None
519199,"Production Workers, All Other",-1.8%,95,$18 per hour,"$41,500 per year",Some of these occupations may require a high school diploma or GED certificate.
435061,"Production, Planning, and Expediting Clerks",-1.3%,627,$26 per hour,"$55,800 per year",These occupations usually require a high school diploma.
131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.6%,"1,815",$36 per hour,"$79,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
492021,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.5%,31,$36 per hour,"$69,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
514023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-0.5%,29,$23 per hour,"$52,200 per year",These occupations usually require a high school diploma.
517041,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.4%,146,$20 per hour,"$43,200 per year",These occupations usually require a high school diploma.
519141,Semiconductor Processing Technicians,-0.3%,100,$19 per hour,"$42,100 per year",These occupations usually require a high school diploma.
519012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-2.4%,72,$20 per hour,"$48,300 per year",These occupations usually require a high school diploma.
516051,"Sewers, Hand",N/A,N/A,$14 per hour,"$30,800 per year",These occupations usually require a high school diploma.
516031,Sewing Machine Operators,-3.9%,53,$17 per hour,"$37,900 per year",Some of these occupations may require a high school diploma or GED certificate.
