SOC,SubTitle,NumberEmployed,OpeningsPerYear,MedianWages,AverageWages,RequiredEducationLevel
191022,Microbiologists,0.3%,40,$35 per hour,"$77,800 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
172151,"Mining and Geological Engineers, Including Mining Safety Engineers",-0.6%,2,$44 per hour,"$96,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
119121,Natural Sciences Managers,1.2%,173,$69 per hour,"$157,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
172161,Nuclear Engineers,0.6%,100,$56 per hour,"$125,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
194051,Nuclear Technicians,2.8%,22,$35 per hour,"$71,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
172171,Petroleum Engineers,0.3%,4,$62 per hour,"$137,600 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
192099,"Physical Scientists, All Other",0.6%,27,$54 per hour,"$114,500 per year",None
192012,Physicists,1.4%,68,$56 per hour,"$128,300 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
193094,Political Scientists,1.6%,25,$43 per hour,"$97,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
194061,Social Science Research Assistants,0.6%,74,$23 per hour,"$52,000 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
193099,"Social Scientists and Related Workers, All Other",1.4%,151,$42 per hour,"$97,000 per year",None
193041,Sociologists,-0.3%,13,$38 per hour,"$76,900 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
193022,Survey Researchers,0.2%,11,$33 per hour,"$71,100 per year","Most of these occupations require graduate school. For example, they may require a master's degree, and some require a Ph.D., M.D., or J.D. (law degree)."
551011,Air Crew Officers,N/A,N/A,N/A,N/A,None
532021,Air Traffic Controllers,0.5%,54,$69 per hour,"$136,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
531041,Aircraft Cargo Handling Supervisors,1.6%,11,$26 per hour,"$66,100 per year",These occupations usually require a high school diploma.
493011,Aircraft Mechanics and Service Technicians,-2.1%,201,$36 per hour,"$70,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
536032,Aircraft Service Attendants,N/A,N/A,$20 per hour,"$49,800 per year",None
532022,Airfield Operations Specialists,-2.1%,7,$37 per hour,"$79,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
532011,"Airline Pilots, Copilots, and Flight Engineers",-3.0%,77,N/A,"$228,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.0%,5,$16 per hour,"$35,500 per year",These occupations usually require a high school diploma.
536031,Automotive and Watercraft Service Attendants,-2.4%,187,$16 per hour,"$36,400 per year",Some of these occupations may require a high school diploma or GED certificate.
493021,Automotive Body and Related Repairers,-3.1%,56,$24 per hour,"$59,000 per year",These occupations usually require a high school diploma.
493022,Automotive Glass Installers and Repairers,-2.6%,35,$24 per hour,"$49,300 per year",These occupations usually require a high school diploma.
493023,Automotive Service Technicians and Mechanics,-3.0%,391,$25 per hour,"$53,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
492091,Avionics Technicians,-1.4%,147,$46 per hour,"$88,700 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
493091,Bicycle Repairers,-5.9%,0,$18 per hour,"$36,900 per year",These occupations usually require a high school diploma.
536011,Bridge and Lock Tenders,0.0%,5,$25 per hour,"$49,600 per year",Some of these occupations may require a high school diploma or GED certificate.
493031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.1%,461,$29 per hour,"$63,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
533051,"Bus Drivers, School",N/A,N/A,$17 per hour,"$37,300 per year",These occupations usually require a high school diploma.
533052,"Bus Drivers, Transit and Intercity",-0.9%,877,$30 per hour,"$61,600 per year",These occupations usually require a high school diploma.
535021,"Captains, Mates, and Pilots of Water Vessels",-2.1%,69,$42 per hour,"$88,400 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
435011,Cargo and Freight Agents,-1.2%,149,$23 per hour,"$52,200 per year",These occupations usually require a high school diploma.
537061,Cleaners of Vehicles and Equipment,-2.7%,650,$16 per hour,"$35,600 per year",Some of these occupations may require a high school diploma or GED certificate.
532012,Commercial Pilots,-1.4%,104,N/A,"$101,100 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
435021,Couriers and Messengers,-1.1%,105,$19 per hour,"$40,000 per year",These occupations usually require a high school diploma.
435032,"Dispatchers, Except Police, Fire, and Ambulance",-1.0%,288,$27 per hour,"$57,500 per year",These occupations usually require a high school diploma.
492093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-1.8%,13,$51 per hour,"$99,900 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
492096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-3.3%,11,$27 per hour,"$55,000 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
493041,Farm Equipment Mechanics and Service Technicians,-0.5%,115,$23 per hour,"$49,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
531042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",N/A,N/A,$31 per hour,"$67,500 per year",These occupations usually require a high school diploma.
531043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,N/A,N/A,$31 per hour,"$67,500 per year",These occupations usually require a high school diploma.
531049,"First-Line Supervisors of Transportation Workers, All Other",-0.6%,887,$31 per hour,"$67,500 per year",None
532031,Flight Attendants,-2.1%,249,N/A,"$59,200 per year",These occupations usually require a high school diploma.
537071,Gas Compressor and Gas Pumping Station Operators,-0.6%,7,$20 per hour,"$49,700 per year",These occupations usually require a high school diploma.
533032,Heavy and Tractor-Trailer Truck Drivers,-0.6%,"3,370",$27 per hour,"$55,900 per year",These occupations usually require a high school diploma.
537051,Industrial Truck and Tractor Operators,0.1%,"1,217",$20 per hour,"$45,100 per year",These occupations usually require a high school diploma.
533033,Light Truck Drivers,1.6%,"3,065",$20 per hour,"$47,300 per year",These occupations usually require a high school diploma.
534011,Locomotive Engineers,-2.3%,27,$35 per hour,"$70,700 per year",These occupations usually require a high school diploma.
131081,Logisticians,1.7%,805,$43 per hour,"$91,200 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
537199,"Material Moving Workers, All Other",-1.0%,72,$22 per hour,"$50,100 per year",None
493042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.1%,321,$32 per hour,"$68,300 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
533099,"Motor Vehicle Operators, All Other",-1.6%,"2,965",$17 per hour,"$41,300 per year",None
493051,Motorboat Mechanics and Service Technicians,-2.5%,36,$24 per hour,"$51,500 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
535022,Motorboat Operators,0.5%,7,$35 per hour,"$68,700 per year",These occupations usually require a high school diploma.
493052,Motorcycle Mechanics,-2.3%,22,$20 per hour,"$45,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
493053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.9%,59,$21 per hour,"$45,300 per year",These occupations usually require a high school diploma.
537064,"Packers and Packagers, Hand",-0.5%,"1,899",$15 per hour,"$34,500 per year",These occupations usually require a high school diploma.
536021,Parking Attendants,-4.1%,103,$16 per hour,"$35,300 per year",Some of these occupations may require a high school diploma or GED certificate.
536061,Passenger Attendants,-4.2%,26,$18 per hour,"$38,000 per year",These occupations usually require a high school diploma.
435051,Postal Service Clerks,-0.1%,118,$24 per hour,"$52,200 per year",These occupations usually require a high school diploma.
435052,Postal Service Mail Carriers,-0.1%,429,$25 per hour,"$54,000 per year",These occupations usually require a high school diploma.
435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",-0.6%,115,$30 per hour,"$54,900 per year",These occupations usually require a high school diploma.
537072,"Pump Operators, Except Wellhead Pumpers",0.0%,2,$21 per hour,"$44,300 per year",These occupations usually require a high school diploma.
493043,Rail Car Repairers,-2.6%,12,$31 per hour,"$64,900 per year",These occupations usually require a high school diploma.
534099,"Rail Transportation Workers, All Other",-2.8%,3,$27 per hour,"$65,400 per year",None
534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",1.0%,21,$25 per hour,"$55,200 per year",These occupations usually require a high school diploma.
534022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",-2.8%,13,$27 per hour,"$57,300 per year",These occupations usually require a high school diploma.
534031,Railroad Conductors and Yardmasters,-2.2%,35,$31 per hour,"$67,900 per year",These occupations usually require a high school diploma.
474061,Rail-Track Laying and Maintenance Equipment Operators,-2.2%,14,$26 per hour,"$55,100 per year",These occupations usually require a high school diploma.
493092,Recreational Vehicle Service Technicians,-2.4%,39,$21 per hour,"$45,100 per year",These occupations usually require a high school diploma.
535011,Sailors and Marine Oilers,-1.2%,186,$27 per hour,"$59,100 per year",These occupations usually require a high school diploma.
535031,Ship Engineers,-1.7%,70,$43 per hour,"$94,200 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
533053,Shuttle Drivers and Chauffeurs,N/A,N/A,$22 per hour,"$46,000 per year",None
499097,Signal and Track Switch Repairers,-1.8%,23,$38 per hour,"$79,600 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
534041,Subway and Streetcar Operators,-0.9%,12,$33 per hour,"$65,500 per year",These occupations usually require a high school diploma.
537121,"Tank Car, Truck, and Ship Loaders",-2.2%,8,$22 per hour,"$50,700 per year",These occupations usually require a high school diploma.
533054,Taxi Drivers,N/A,N/A,$22 per hour,"$46,000 per year",None
493093,Tire Repairers and Changers,-1.9%,187,$16 per hour,"$38,600 per year",Some of these occupations may require a high school diploma or GED certificate.
536041,Traffic Technicians,-0.9%,5,$34 per hour,"$71,800 per year","Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree."
536099,"Transportation Workers, All Other",-2.9%,16,$20 per hour,"$49,800 per year",None
113071,"Transportation, Storage, and Distribution Managers",0.9%,257,$52 per hour,"$116,100 per year","Most of these occupations require a four-year bachelor's degree, but some do not."
